name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Coimbatore, IN",2021-06-11,34,23.9,27.7,35.1,23.9,28.4,20.2,66.4,3.5,100,100,rain,,,48.2,29.5,214.3,1008.5,54.4,5.4,236.2,20.4,9,,2021-06-11T05:59:07,2021-06-11T18:44:34,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-12,32,23.9,27,33.7,23.9,27.7,20.6,69.9,11.1,100,100,rain,,,55.4,37.1,213.2,1008.4,62.5,5.5,199,17.2,6,,2021-06-12T05:59:16,2021-06-12T18:44:50,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-13,30,23,25.9,31.9,23,26.4,21,75.6,20.8,100,100,rain,,,48.2,28.6,218.4,1008.6,83.3,4.9,166.5,14.4,6,,2021-06-13T05:59:25,2021-06-13T18:45:06,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-14,28,22.8,24.6,30.7,22.8,24.9,21.7,84.3,6.8,100,100,rain,,,31.7,25.9,218.9,1008.6,89,4.8,233.8,20.3,8,,2021-06-14T05:59:35,2021-06-14T18:45:21,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-06-15,31,23,26.7,33,23,27.8,21.2,73.7,9.7,100,100,rain,,,48.2,31.6,227.2,1007.5,75.9,5.4,208.5,17.9,7,,2021-06-15T05:59:45,2021-06-15T18:45:36,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-16,31,24,26.7,33,24,27.7,21.3,73.6,11.5,100,100,rain,,,37.1,29.7,220,1009,66.6,5.5,205.7,17.7,7,,2021-06-16T05:59:56,2021-06-16T18:45:51,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-17,32,24,27.2,33.5,24,27.9,20.8,70,7.8,100,100,rain,,,50,31.7,231.6,1009.8,56.4,5.2,169.3,14.4,5,,2021-06-17T06:00:07,2021-06-17T18:46:06,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-18,31,25,27.5,33.1,25,28.4,20.4,66.2,3.1,100,100,rain,,,37.1,25.9,218.6,1010.7,65,5.1,219.9,19.2,7,,2021-06-18T06:00:18,2021-06-18T18:46:20,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-19,32.8,24.9,28,34.2,24.9,28.7,19.9,63,1.8,100,75,rain,,,46.4,27.7,222.5,1011.8,54.8,5.2,184.8,16,6,,2021-06-19T06:00:30,2021-06-19T18:46:34,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-20,33,24,27.7,35.8,24,28.9,21.5,70.9,3.1,100,100,rain,,,46.4,28.8,215.3,1011.8,36.6,5.5,190.8,16.5,7,,2021-06-20T06:00:43,2021-06-20T18:46:47,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-21,32,23.9,27.2,34.9,23.9,28.5,22,75,4.7,100,100,rain,,,,25.9,202.9,1011.2,50.8,4.9,181.5,15.7,6,,2021-06-21T06:00:56,2021-06-21T18:47:01,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-22,32,23.9,27.1,34.9,23.9,28.3,21.8,74.4,4.2,100,100,rain,,,,25.9,201.3,1010,65,5.2,147.4,12.7,5,,2021-06-22T06:01:09,2021-06-22T18:47:13,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-23,33,24,27.7,36.2,24,29.1,22.1,73.1,6,100,83.33,rain,,,,19.8,206.8,1009.7,58.7,5.1,149.8,13.1,5,,2021-06-23T06:01:22,2021-06-23T18:47:25,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-24,31.2,23,26.6,33.7,23,27.4,21.3,74.4,2.4,100,37.5,rain,,,,31.6,211.3,1010.6,60.2,5.5,157.8,13.8,5,,2021-06-24T06:01:36,2021-06-24T18:47:37,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-25,34,23.8,27.9,35.3,23.8,28.7,20.7,67.7,0.2,100,8.33,rain,,,,27.7,203.3,1009.3,43.1,5.1,237.4,20.6,9,,2021-06-25T06:01:50,2021-06-25T18:47:48,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-26,33,23,26.6,36.1,23,27.5,21.3,75,7,100,95.83,rain,,,31.7,27.7,204.5,1009.1,60.4,5,218,18.8,8,,2021-06-26T06:02:05,2021-06-26T18:47:59,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-27,30.8,22.8,25.5,33.3,22.8,26.3,21.3,78.6,7.5,100,100,rain,,,,22.3,205.7,1010.1,86.1,4.7,164.3,14.3,5,,2021-06-27T06:02:19,2021-06-27T18:48:09,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999"
"Coimbatore, IN",2021-06-28,32,23,26.6,35.3,23,27.7,21.6,75.8,3.1,100,75,rain,,,,22.3,207.2,1009.7,59.8,4.9,261.1,22.4,9,,2021-06-28T06:02:34,2021-06-28T18:48:19,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-29,33.1,21.4,25.9,35.6,21.4,26.9,21.9,79.9,5.2,100,58.33,rain,,,,18.4,222.6,1008.5,61.1,5.1,241.2,20.8,8,,2021-06-29T06:02:49,2021-06-29T18:48:28,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOCB,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-06-30,34.1,24,28.2,37.4,24,30,22.3,72.2,1.5,100,37.5,rain,,,33.5,25.9,208.1,1008.8,39.3,5.1,188.9,16.4,6,,2021-06-30T06:03:04,2021-06-30T18:48:36,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOCB,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-07-01,34,24.9,27.5,38.3,24.9,29,22.8,77.1,13.5,100,62.5,rain,,,,27.7,200.8,1008,50.3,5,155.1,13.5,5,,2021-07-01T06:03:19,2021-07-01T18:48:44,0.74,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-07-02,33,24,27.6,35.3,24,28.9,22,73.7,7.6,100,91.67,rain,,,33.5,22.3,203.2,1008.7,57.1,5,201,17.5,7,,2021-07-02T06:03:35,2021-07-02T18:48:51,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-03,33,23.8,27.4,37.1,23.8,28.9,22.1,74.6,5.9,100,100,rain,,,,18.4,203.8,1009.3,58.5,5.1,139,12,5,,2021-07-03T06:03:50,2021-07-03T18:48:58,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-04,33.9,24,27.3,37,24,28.7,22.2,76,19.1,100,100,rain,,,,22.3,206.3,1009.2,59.5,5.2,144.4,12.5,5,,2021-07-04T06:04:06,2021-07-04T18:49:04,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-05,33,24,27.1,37,24,28.8,23,79.9,4,100,70.83,rain,,,,22.3,219.6,1008.6,63.1,5.1,198.3,17,7,,2021-07-05T06:04:22,2021-07-05T18:49:09,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-06,34.1,23.9,27.9,37.3,23.9,29.4,22.3,74.1,5.1,100,83.33,rain,,,,18.4,216.7,1007.3,52.5,5.3,123.2,10.5,4,,2021-07-06T06:04:37,2021-07-06T18:49:13,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-07-07,33,24.9,28.1,37,24.9,29.7,22.3,72.9,5.7,100,79.17,rain,,,,18.4,204.9,1007.6,51.6,5,155.7,13.5,6,,2021-07-07T06:04:53,2021-07-07T18:49:17,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-07-08,34,24,28.2,38.3,24,30.1,22.6,73.9,6.5,100,83.33,rain,,,,25.9,201.3,1007.8,46.8,5.2,156.6,13.4,5,,2021-07-08T06:05:09,2021-07-08T18:49:20,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-09,31.9,21.6,26.5,35.6,21.6,27.6,22.2,78.6,15,100,100,rain,,,,24.1,206.7,1006.6,69.5,5.1,113.9,9.6,4,,2021-07-09T06:05:24,2021-07-09T18:49:22,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-07-10,27.1,20.8,23.9,29.2,20.8,24.2,21.1,84.3,19.7,100,100,rain,,,37.1,37.1,221.7,1006.9,79.8,4.7,176.5,15.2,6,,2021-07-10T06:05:40,2021-07-10T18:49:23,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-07-11,29,21,24.4,30.3,21,24.7,19.8,77.3,4,100,95.83,rain,,,38.9,25.9,209.6,1006.4,87.3,5.1,228.3,19.7,8,,2021-07-11T06:05:55,2021-07-11T18:49:24,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-07-12,30,22,25.1,32.6,22,25.9,21.6,81.6,4.8,100,100,rain,,,,31.7,214.8,1006.5,88.7,4.8,190.6,16.4,6,,2021-07-12T06:06:11,2021-07-12T18:49:24,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-07-13,30,23,25.9,31.4,23,26.5,21.2,77,7.9,100,100,rain,,,37.1,25.2,209.2,1007.2,87.4,5.1,208.3,18,7,,2021-07-13T06:06:26,2021-07-13T18:49:23,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-07-14,30,22,25.8,31.5,22,26.4,20.8,75.4,16.5,100,100,rain,,,31.7,22.3,209.5,1007.6,70.3,4.9,266.1,22.8,9,,2021-07-14T06:06:41,2021-07-14T18:49:21,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-15,27,22,24.3,29.2,22,24.5,22.1,87.7,12.9,100,100,rain,,,,18.4,211.4,1007.9,84.9,4.7,188.7,16.2,6,,2021-07-15T06:06:56,2021-07-15T18:49:19,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-16,30,22,25.3,34.2,22,26.3,22.6,85.8,19.7,100,100,rain,,,,25.9,195.7,1009.3,81.6,4.6,215.5,18.5,7,,2021-07-16T06:07:10,2021-07-16T18:49:15,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-17,32,23,25.7,36.8,23,26.6,22.2,82.5,5.7,100,100,rain,,,,22.3,202.6,1009.4,80.9,4.9,196.6,16.9,7,,2021-07-17T06:07:25,2021-07-17T18:49:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-18,26,21.9,23.2,26,21.9,23.2,21.6,90.9,6.6,100,100,rain,,,,20.7,205.3,1009.4,87.8,4.1,153.7,13.3,5,,2021-07-18T06:07:39,2021-07-18T18:49:06,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-19,32,22.8,26.4,34.2,22.8,27.5,21.5,76.5,2.1,100,87.5,rain,,,40.7,31.6,212,1009.2,55.4,4.9,197.4,17.1,7,,2021-07-19T06:07:53,2021-07-19T18:49:00,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-20,33,23.9,27.5,34.6,23.9,28.1,20.3,67.4,2.1,100,58.33,rain,,,59.4,38.9,226,1010.5,34.7,5.3,205.5,17.7,7,,2021-07-20T06:08:07,2021-07-20T18:48:54,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-21,30,24,26.4,31.9,24,27,20.4,70.3,7.6,100,100,rain,,,48.2,37.1,226.7,1010,60.1,5.6,154.2,13.4,5,,2021-07-21T06:08:20,2021-07-21T18:48:46,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-22,30.8,25,27.1,32.3,25,27.9,20.1,66.1,14.3,100,100,rain,,,51.8,33.5,234.1,1007.3,67.8,5.1,141.5,12.3,5,,2021-07-22T06:08:33,2021-07-22T18:48:38,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-23,30,24.1,26.2,31.9,24.1,26.6,21.3,75.1,14.8,100,100,rain,,,46.4,27.7,227.5,1006.7,71.9,4.7,146.4,12.7,5,,2021-07-23T06:08:46,2021-07-23T18:48:28,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-24,31.1,23.8,26.6,35.5,23.8,27.9,22.2,78.5,10.6,100,100,rain,,,37.1,27.7,208.3,1008.1,75.4,5,225.7,19.3,8,,2021-07-24T06:08:59,2021-07-24T18:48:18,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-25,30,23,26.1,34.2,23,27.3,22.3,80.2,4.2,100,91.67,rain,,,40.7,27.7,212.5,1009.4,69.1,5.4,243.8,20.8,8,,2021-07-25T06:09:11,2021-07-25T18:48:07,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-26,31.1,24,26.5,33.8,24,27.4,21.9,77.3,5.4,100,100,rain,,,,28.8,212.5,1009.8,78.2,5.1,150.3,12.8,6,,2021-07-26T06:09:23,2021-07-26T18:47:55,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-27,30,23,26.2,33.3,23,27.3,21.9,78.1,5.1,100,79.17,rain,,,37.1,25.9,206.7,1009.5,63.3,5,173.7,14.9,6,,2021-07-27T06:09:35,2021-07-27T18:47:43,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-28,33,23,27,35.3,23,28.1,21.5,74.1,3.4,100,83.33,rain,,,35.3,30.7,210.4,1010,47.6,5.2,232.9,20.1,8,,2021-07-28T06:09:46,2021-07-28T18:47:29,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-29,32,23.8,27,33.7,23.8,27.9,21.1,72.2,1.7,100,37.5,rain,,,55.4,37.1,215.9,1010.6,37.2,5.2,197.9,17,7,,2021-07-29T06:09:57,2021-07-29T18:47:15,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-30,31,23.8,26.5,33.7,23.8,27.5,21.6,75.7,1.5,100,62.5,rain,,,37.1,31.6,208.7,1011.3,36.5,5.3,278.5,24.2,9,,2021-07-30T06:10:07,2021-07-30T18:47:00,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-07-31,33,23,27.1,34.6,23,27.8,20.8,71.4,1.8,100,75,rain,,,,27.7,208.6,1011.7,37.3,5,279.6,24,9,,2021-07-31T06:10:17,2021-07-31T18:46:44,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-08-01,32,23,26.8,34.2,23,27.6,21.2,73.5,0.8,100,33.33,rain,,,42.5,29,202.5,1010.6,45.5,5.1,216.9,18.8,7,,2021-08-01T06:10:27,2021-08-01T18:46:27,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-08-02,32.1,23,26.6,32.9,23,26.9,20.3,71.6,3.4,100,62.5,rain,,,55.4,37.1,217.9,1010.7,43.5,5.1,249.8,21.6,8,,2021-08-02T06:10:36,2021-08-02T18:46:09,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-08-03,31.8,23,26.5,34.6,23,27.3,20.9,73.2,3.1,100,83.33,rain,,,40.7,25.9,211.6,1011.9,49.5,5.1,173.6,14.9,6,,2021-08-03T06:10:45,2021-08-03T18:45:51,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-08-04,30.1,23,26.1,33.3,23,27.1,21.2,75.1,2.1,100,62.5,rain,,,37.1,25.9,201.3,1012.4,83.3,5,228,19.6,8,,2021-08-04T06:10:54,2021-08-04T18:45:31,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-08-05,32,23.8,26.7,33.5,23.8,27.4,21.2,73.8,7.7,100,66.67,rain,,,40.7,32.6,211.7,1010.6,57.1,5.3,236.6,20.3,8,,2021-08-05T06:11:02,2021-08-05T18:45:11,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-08-06,32,23,26.2,35.8,23,27.3,22,79,10.5,100,100,rain,,,31.7,24.1,202.6,1009.2,52.9,5.1,219.2,18.9,8,,2021-08-06T06:11:09,2021-08-06T18:44:50,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-08-07,32,23.8,26.3,35.8,23.8,27.4,22.1,79,14.2,100,100,rain,,,33.5,22.3,199.5,1009.8,60.7,5,160.1,13.7,6,,2021-08-07T06:11:17,2021-08-07T18:44:29,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-08-08,34.8,23,27.2,39.1,23,28.6,21.8,74.6,3.8,100,87.5,rain,,,,25.9,201.7,1010.2,54.2,5,194.3,17,6,,2021-08-08T06:11:24,2021-08-08T18:44:06,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-08-09,32.2,23,27.1,35.8,23,28.4,21.8,74.8,7.6,100,62.5,rain,,,33.5,25.4,204,1010.6,52.3,5.2,138.6,12,5,,2021-08-09T06:11:30,2021-08-09T18:43:43,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-08-10,31.2,23,26.2,33.9,23,27.1,21.7,77.2,1.9,100,45.83,rain,,,,22.3,201.4,1010.9,59.8,5,187.9,16.2,6,,2021-08-10T06:11:36,2021-08-10T18:43:19,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
